	System_index	System_name	Genes	Selection_pressure	p	q	Model_input	Rank_of_model_input	Mutation_count
26	19265	GO:0044424	14195 genes including: TP53,PIK3CA,GATA3,CDH1,MAP3K1,KMT2C,PTEN,MAP2K4,RUNX1,NCOR1,TBX3,FOXA1,AKT1,BRCA2,ARID1A,PIK3R1,ERBB2,MYH9,VPS13C,HMCN1,TTN,MUC17,NF1,HUWE1,CTCF	0.041120	0.0088	0.3656	4.24|4.156|3.238|3.233|2.779|2.597|2.456|2.138|2.112|1.987|1.933|1.82|1.712|1.688|1.668|1.655|1.61|1.609|1.552|1.53|1.49|1.457|1.437|1.422|1.393	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25	346|346|127|127|89|97|58|42|40|50|33|31|27|29|39|29|30|30|30|61|189|45|37|38|21
27	19262	GO:0044420	59 genes including: COL4A5,LAMA2,DLG1,LAMB3,COL12A1,LAMC1,COL1A2,MFAP5,COL14A1,THSD4,COL11A1,TNR,ELN,COL4A3,COL1A1,COL8A1,COL4A6,MFAP1,FN1,LAMC2,FBN2,COL4A4,COLQ,ENTPD2,LAMB1	0.005614	0.0088	0.3656	0.787|0.712|0.704|0.702|0.679|0.652|0.646|0.558|0.516|0.509|0.484|0.473|0.412|0.409|0.341|0.321|0.254|0.23|0.23|0.218|0.185|0.143|0.133|0.078|0.039	234|316|326|328|369|414|429|645|799|832|947|991|1274|1294|1721|1868|2397|2616|2616|2725|3077|3536|3647|4266|4783	18|23|16|13|26|14|14|5|22|10|17|15|7|16|12|8|16|5|17|7|16|15|4|4|14
28	19674	GO:0120025	2032 genes including: PIK3CA,CDH1,PTEN,MAP2K4,FOXA1,AKT1,MYH9,NF1,AKAP9,CASP8,ATP7A,ABCA7,RP1,DMD,USH2A,GRID2,MAP1A,GRIN2A,LRP2,RPGR,KIF17,KIF4A,PKHD1L1,MARK1,CDC42BPA	0.045559	0.0091	0.3656	4.156|3.233|2.456|2.138|1.82|1.712|1.609|1.437|1.37|1.337|1.192|1.188|1.141|1.105|1.101|1.073|1.064|1.048|1.033|1.018|1.004|0.995|0.985|0.954|0.948	2|4|7|8|12|13|18|23|27|29|44|45|54|58|59|67|71|77|79|83|88|92|98|114|117	346|127|58|42|31|27|30|37|30|18|18|14|27|50|61|14|27|22|39|19|14|22|41|13|19
29	18777	GO:0030863	103 genes including: CDH1,MYH9,SHROOM2,PCLO,RIMS1,ACTN4,EEF1A1,PPP1R9A,SPTA1,SPTB,RIMS2,KRT19,BSN,UTRN,MPP1,DBN1,CALD1,LASP1,LANCL2,WIPF2,FLNA,CAPN2,SPTBN2,MYO1A,CAPZA2	0.005479	0.0094	0.3656	3.233|1.609|0.956|0.88|0.871|0.847|0.675|0.661|0.629|0.599|0.563|0.538|0.528|0.504|0.459|0.447|0.41|0.376|0.362|0.346|0.338|0.305|0.268|0.214|0.188	4|18|113|147|152|173|377|400|458|537|625|711|744|851|1050|1090|1288|1492|1580|1685|1741|1982|2285|2768|3046	127|30|17|38|14|12|10|15|53|18|16|7|20|29|7|7|9|4|6|5|20|7|18|8|4
30	18491	GO:0005829	5040 genes including: TP53,PIK3CA,MAP3K1,PTEN,MAP2K4,RUNX1,NCOR1,AKT1,BRCA2,PIK3R1,ERBB2,MYH9,VPS13C,TTN,NF1,HUWE1,AKAP9,CASP8,PHKA2,WDR44,ANKRD12,RAPGEF6,ATP7A,KDM5B,BACH2	0.062026	0.0098	0.3656	4.24|4.156|2.779|2.456|2.138|2.112|1.987|1.712|1.688|1.655|1.61|1.609|1.552|1.49|1.437|1.422|1.37|1.337|1.271|1.267|1.252|1.21|1.192|1.181|1.166	1|2|5|7|8|9|10|13|14|16|17|18|19|21|23|24|27|29|31|33|38|43|44|46|49	346|346|89|58|42|40|50|27|29|29|30|30|30|189|37|38|30|18|22|20|20|23|18|19|17
31	18338	GO:0002079	SPACA1,TMEM190,TRIP11,CD46,EQTN	0.001453	0.0098	0.3656	0.597|0.427|0.423|0.233|0.0	543|1185|1204|2588|18217	7|4|14|5|2
32	18334	GO:0001917	51 genes including: RP1,USH2A,DNM1,DNM3,CCDC66,CRB1,RGS9,PDZD7,GNB5,SHOC2,MYO7A,RDH12,RHO,NOS1,GUCA1A,ARR3,RDH11,PPEF2,GNAT2,TULP1,FAM161A,ARMS2,PHLPP1,PHLPP2,PKM	0.003609	0.0100	0.3656	1.141|1.101|0.727|0.653|0.644|0.631|0.509|0.391|0.373|0.365|0.351|0.263|0.25|0.248|0.225|0.211|0.169|0.166|0.07|0.064|0.04|0.016|0.0|0.0|0.0	54|59|300|412|433|454|832|1393|1503|1559|1646|2328|2435|2450|2661|2797|3239|3276|4356|4435|4769|5099|18217|18217|18217	27|61|10|14|7|15|10|6|5|6|19|4|4|15|3|5|3|8|3|5|6|1|7|7|3
33	19183	GO:0042995	2101 genes including: PIK3CA,CDH1,PTEN,MAP2K4,FOXA1,AKT1,MYH9,NF1,AKAP9,CASP8,ATP7A,ABCA7,RP1,DMD,USH2A,GRID2,MAP1A,GRIN2A,LRP2,RPGR,KIF17,KIF4A,PKHD1L1,MARK1,CDC42BPA	0.043241	0.0106	0.3656	4.156|3.233|2.456|2.138|1.82|1.712|1.609|1.437|1.37|1.337|1.192|1.188|1.141|1.105|1.101|1.073|1.064|1.048|1.033|1.018|1.004|0.995|0.985|0.954|0.948	2|4|7|8|12|13|18|23|27|29|44|45|54|58|59|67|71|77|79|83|88|92|98|114|117	346|127|58|42|31|27|30|37|30|18|18|14|27|50|61|14|27|22|39|19|14|22|41|13|19
34	18567	GO:0005964	PHKA2,PHKA1,PHKB,PHKG2	0.001318	0.0119	0.3656	1.271|0.339|0.0|0.0	31|1736|18217|18217	22|10|5|2
35	19336	GO:0046696	TLR4,HSPD1,BCL10,CD14,TRIL,LY96	0.001646	0.0120	0.3656	0.966|0.595|0.363|0.0|0.0|0.0	109|549|1571|18217|18217|18217	17|9|4|1|0|0
36	19607	GO:0098562	183 genes including: CDH1,PTEN,PTPN3,THADA,RHOA,BMX,ATP2B1,DLG1,PTPN22,EEF1A1,LYN,SPTA1,KRAS,IKBKB,SPTB,RASA3,BTK,ITK,AJAP1,SNAP25,ESYT1,TRAF5,KCNAB1,SPPL3,RGS8	0.020394	0.0121	0.3656	3.233|2.456|0.865|0.851|0.825|0.773|0.75|0.704|0.675|0.675|0.631|0.629|0.61|0.6|0.599|0.595|0.569|0.567|0.521|0.511|0.481|0.475|0.422|0.414|0.389	4|7|158|169|190|248|270|326|377|377|454|458|502|532|537|549|609|619|773|820|959|981|1208|1252|1412	127|58|11|18|8|9|17|16|11|10|8|53|6|7|18|8|10|11|6|6|10|8|6|6|4
37	18816	GO:0031091	91 genes including: F5,F8,ACTN4,SELP,CD109,FAM49B,APP,PLG,HRG,SERPINA1,MMRN1,CLU,ALDOA,SCCPDH,ITGB3,CYB5R1,THBS1,FERMT3,KNG1,OLA1,A2M,APOOL,ORM2,FN1,PHACTR2	0.005879	0.0123	0.3656	1.148|0.884|0.847|0.809|0.741|0.581|0.538|0.519|0.516|0.502|0.486|0.469|0.463|0.433|0.429|0.384|0.378|0.347|0.324|0.273|0.242|0.24|0.236|0.23|0.225	52|145|173|212|281|577|711|784|799|859|936|1012|1035|1153|1170|1438|1477|1676|1847|2240|2503|2516|2552|2616|2661	27|26|12|13|11|8|12|13|8|8|15|5|6|4|7|4|10|7|6|4|12|4|3|17|6
38	18369	GO:0005604	90 genes including: HMCN1,LAMB4,USH2A,DST,COL4A5,CCDC80,LAMA2,DLG1,LAMB3,TINAG,LAMC1,CASK,FREM1,COL4A3,MATN2,SERPINF1,COL8A1,COL17A1,COL4A6,FN1,FGF9,LAMC2,EFEMP2,COL28A1,ITGA6	0.004267	0.0124	0.3656	1.53|1.254|1.101|0.819|0.787|0.749|0.712|0.704|0.702|0.661|0.652|0.633|0.431|0.409|0.378|0.347|0.321|0.272|0.254|0.23|0.222|0.218|0.211|0.197|0.177	20|37|59|200|234|271|316|326|328|400|414|449|1157|1294|1477|1676|1868|2253|2397|2616|2687|2725|2797|2944|3152	61|20|61|32|18|12|23|16|13|11|14|12|21|16|10|4|8|12|16|17|3|7|4|8|9
39	18514	GO:0005865	30 genes including: TTN,FHOD3,TNNI3,LMOD1,MYOM3,MYBPC3,MYBPC2,TPM3,TNNT1,TNNT3,TMOD1,TNNC2,TPM1,TPM2,TPM4,TMOD2,MYOM1,MYOM2,ACTA1,LMOD2,LMOD3,OBSL1,TNNC1,TNNI1,TNNI2	0.002083	0.0124	0.3656	1.49|0.744|0.703|0.588|0.568|0.379|0.34|0.255|0.236|0.21|0.175|0.085|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	21|278|327|564|614|1469|1729|2381|2552|2806|3173|4180|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217	189|16|7|9|13|11|9|5|4|4|4|2|3|2|4|0|12|15|2|1|3|10|0|1|0
40	19648	GO:0098983	NLGN3,NLGN2,NLGN4X,NLGN4Y	0.000467	0.0124	0.3656	0.83|0.529|0.0|0.0	187|742|18217|18217	13|7|14|1
41	19264	GO:0044422	9336 genes including: TP53,GATA3,CDH1,KMT2C,PTEN,RUNX1,NCOR1,FOXA1,AKT1,BRCA2,ARID1A,PIK3R1,ERBB2,MYH9,VPS13C,TTN,MUC17,NF1,HUWE1,CTCF,AFF2,AKAP9,BRCA1,CASP8,ARID4B	0.024898	0.0134	0.3852	4.24|3.238|3.233|2.597|2.456|2.112|1.987|1.82|1.712|1.688|1.668|1.655|1.61|1.609|1.552|1.49|1.457|1.437|1.422|1.393|1.39|1.37|1.35|1.337|1.298	1|3|4|6|7|9|10|12|13|14|15|16|17|18|19|21|22|23|24|25|26|27|28|29|30	346|127|127|97|58|40|50|31|27|29|39|29|30|30|30|189|45|37|38|21|27|30|27|18|18
42	18668	GO:0017053	85 genes including: NCOR1,CHD4,GPS2,TBL1XR1,SP3,CORO2A,SIN3A,TFAP4,SDR16C5,PASD1,PHF12,DEPDC1,MTA2,RCOR2,HEY2,SMARCC2,SALL1,RLIM,TBL1X,ZNF350,SP1,HDAC3,ZBTB16,DDX20,ELANE	0.006506	0.0137	0.3852	1.987|1.171|1.084|0.82|0.806|0.696|0.69|0.668|0.561|0.544|0.52|0.496|0.408|0.393|0.389|0.37|0.349|0.309|0.295|0.285|0.267|0.18|0.169|0.168|0.165	10|48|64|196|215|343|359|384|634|687|778|883|1304|1380|1412|1521|1658|1955|2059|2137|2290|3124|3239|3252|3290	50|26|12|11|11|8|13|7|6|8|11|7|7|5|5|10|14|6|7|8|7|4|7|6|2
43	19345	GO:0048786	41 genes including: PCLO,RIMS1,SYN1,SYP,STX1A,RIMS2,BSN,STX3,ADORA1,GPER1,STX4,PPFIA1,STX2,STXBP1,SLC17A7,SYT11,RIMS3,ADORA2A,SV2A,UNC13C,NUFIP1,GAD1,SLC32A1,STX11,UNC13B	0.002096	0.0144	0.3896	0.88|0.871|0.818|0.585|0.574|0.563|0.528|0.26|0.256|0.255|0.255|0.215|0.215|0.212|0.2|0.165|0.146|0.138|0.137|0.133|0.028|0.0|0.0|0.0|0.0	147|152|201|568|600|625|744|2348|2374|2381|2381|2758|2758|2787|2913|3290|3489|3589|3603|3647|4923|18217|18217|18217|18217	38|14|10|7|6|16|20|4|4|4|4|11|4|5|5|5|3|3|8|24|6|4|1|2|12
44	18284	GO:0000794	97 genes including: BRCA2,TTN,BRCA1,MSH5,SYN1,CCDC155,MIS18BP1,SMC1B,REC8,ATRX,TOPBP1,HORMAD1,RAD21,BLM,HSPA2,SMC1A,LRPPRC,MLH1,SYCP2L,DMC1,RSPH1,RAD9A,RAD50,HUS1B,AURKA	0.003521	0.0145	0.3896	1.688|1.49|1.35|1.022|0.818|0.599|0.57|0.519|0.503|0.496|0.496|0.488|0.485|0.462|0.451|0.441|0.436|0.379|0.354|0.286|0.281|0.257|0.217|0.189|0.172	14|21|28|82|201|537|605|784|853|883|883|922|941|1040|1070|1116|1138|1469|1628|2128|2171|2364|2736|3027|3203	29|189|27|11|10|8|12|10|8|24|13|6|7|16|6|14|12|8|10|4|4|4|9|3|5
45	19375	GO:0062023	253 genes including: HMCN1,LAMB4,USH2A,DST,COL6A6,COL4A5,CCDC80,LAMA2,DLG1,LAMB3,COL12A1,ABI3BP,TINAG,CFP,ADAMTS9,LAMC1,COL1A2,CASK,MFAP5,CILP,COL14A1,VCAN,THSD4,MMRN1,PRELP	0.057312	0.0151	0.3910	1.53|1.254|1.101|0.819|0.811|0.787|0.749|0.712|0.704|0.702|0.679|0.677|0.661|0.659|0.652|0.652|0.646|0.633|0.558|0.524|0.516|0.513|0.509|0.486|0.486	20|37|59|200|208|234|271|316|326|328|369|374|400|402|414|414|429|449|645|757|799|811|832|936|936	61|20|61|32|22|18|12|23|16|13|26|13|11|8|16|14|14|12|5|9|22|20|10|15|6
46	19132	GO:0036457	FLG2,FLG,RPTN,HRNR,CELA2A	0.001310	0.0152	0.3910	0.957|0.415|0.099|0.072|0.0	112|1249|4030|4335|18217	28|66|11|22|2
