	brca_diff_log_ps5	luad_diff_log_ps5	ucec_diff_log_ps5	lgg_diff_log_ps5	hnsc_diff_log_ps5	prad_diff_log_ps5	thca_diff_log_ps5	lusc_diff_log_ps5	skcm_diff_log_ps5	stad_diff_log_ps5	ov_diff_log_ps5	blca_diff_log_ps5	gbm_diff_log_ps5	coad_diff_log_ps5	lihc_diff_log_ps5	kirc_diff_log_ps5	cesc_diff_log_ps5	kirp_diff_log_ps5	sarc_diff_log_ps5	laml_diff_log_ps5	esca_diff_log_ps5	pcpg_diff_log_ps5	paad_diff_log_ps5	tgct_diff_log_ps5	read_diff_log_ps5	thym_diff_log_ps5	acc_diff_log_ps5	meso_diff_log_ps5	uvm_diff_log_ps5	kich_diff_log_ps5	ucs_diff_log_ps5	dlbc_diff_log_ps5	chol_diff_log_ps5	pancancer_diff_log_ps5
AATK	0.312	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.265	0.0	0.004	0.0	0.0	0.0	0.0	0.209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABAT	0.0	0.482	0.173	0.0	0.0	0.0	0.094	0.0	0.0	0.0	0.0	0.0	0.0	0.492	0.104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.093	0.0	0.581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA10	0.119	0.0	0.269	0.0	0.0	0.0	0.0	0.0	0.0	0.843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.311	0.468	0.0	0.0	0.0	0.087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA12	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.828	0.0	0.211	0.877	0.168	0.685	0.0	0.0	0.0	0.235	0.0	0.0	0.0	0.0	0.0	0.195	0.0	0.0	0.071	0.391	0.0	0.0	0.0
ABCA13	0.0	1.156	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.615	0.684	0.607	0.0	0.0	0.0	0.0	0.0	0.671	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA2	0.0	0.443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.168	0.08	0.0	0.025	0.076	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA3	0.376	0.0	0.0	0.0	0.0	0.0	0.168	0.0	0.0	0.0	0.356	0.0	0.0	0.035	0.328	0.0	0.0	0.0	0.0	0.0	0.171	0.0	0.0	0.0	0.065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.351	0.0	0.0	0.046	0.0	0.0	0.358	0.645	0.0	0.0	0.0	0.0	0.466	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.106	0.061	0.0	0.0
ABCA5	0.0	0.334	0.0	0.0	0.0	0.0	0.0	0.676	0.0	0.0	0.0	0.0	0.166	0.766	0.0	0.0	0.107	0.149	0.0	0.0	0.0	0.0	0.0	0.071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA6	0.0	1.199	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.182	0.0	0.0	0.994	0.0	0.0	0.0	0.101	0.0	0.704	0.49	0.0	0.0	0.0	0.054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA7	1.188	0.0	0.0	0.099	0.0	0.0	0.0	0.0	0.0	0.978	0.0	0.0	0.0	0.0	0.686	0.42	0.0	0.321	0.0	0.0	0.0	0.0	0.0	0.068	0.177	0.188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA8	0.473	0.0	0.0	0.0	0.0	0.061	0.0	0.0	0.0	0.0	0.295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA9	0.0	0.0	1.235	0.0	0.0	0.0	0.155	0.633	0.0	0.0	0.778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0
ABCB1	0.0	1.102	1.121	0.418	0.683	0.443	0.033	0.29	0.0	1.347	0.324	0.191	0.57	0.363	0.0	0.211	0.046	0.0	0.0	0.002	0.476	0.0	0.405	0.0	0.101	0.0	0.0	0.0	0.0	0.0	0.122	0.003	0.0	2.035
ABCB10	0.474	0.777	0.0	0.046	0.0	0.047	0.0	0.614	0.341	1.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCB11	0.488	0.123	0.0	0.0	0.0	0.0	0.343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.311	0.0	0.137	0.0	0.0	0.0	0.084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCB4	0.0	0.0	0.0	0.121	0.136	0.0	0.0	0.0	0.0	1.428	0.789	0.558	0.109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.063	0.0	0.0	0.0	0.0	0.0	0.0
ABCB5	0.0	0.936	0.932	0.008	0.0	0.0	0.0	0.833	1.045	0.0	0.596	1.05	0.0	0.0	0.472	0.0	0.0	0.153	0.64	0.028	0.0	0.123	0.483	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.207	0.0	1.434
ABCB6	0.0	0.189	0.703	0.0	0.03	0.0	0.0	0.015	0.0	0.674	0.0	0.0	0.0	0.0	0.0	0.0	0.181	0.013	0.0	0.0	0.234	0.0	0.089	0.0	0.397	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.0
ABCB7	0.0	0.0	0.0	0.164	0.0	0.0	0.021	0.109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.468	0.0	0.0	0.078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.279	0.0	0.0	0.0
ABCB8	0.613	0.0	0.0	0.0	0.305	0.0	0.03	0.022	0.0	0.0	0.078	0.0	0.107	0.0	0.0	0.173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.152	0.0	0.0	0.0	0.0	0.0	0.099	0.132	0.0	0.0
ABCB9	0.0	0.0	0.0	0.059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043	0.0	0.0	0.0	0.0	0.0	0.154	0.0	0.0	0.0	0.0	0.173	0.126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCC1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.257	0.0	0.0	0.115	0.0	0.0	0.0	0.0	0.0	0.0	0.537	0.07	0.0	0.0	0.0	0.0	0.0	0.175	0.0	0.0
ABCC10	0.511	0.0	0.0	0.371	0.11	0.0	0.0	0.0	0.0	0.0	0.299	0.0	0.0	0.0	0.067	0.058	0.0	0.302	0.0	0.0	0.0	0.105	0.058	0.0	0.0	0.0	0.0	0.0	0.0	0.079	0.03	0.052	0.0	0.0
ABCC11	0.0	0.0	0.0	0.324	0.0	0.037	0.0	0.127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.091	0.0	0.085	0.19	0.0	0.0	0.0	0.0	0.0	0.111	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCC12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCC2	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.069	0.0	0.629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.675	0.0	0.043	0.0	0.0	0.0	0.154	0.0	0.111	0.0
ABCC3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.903	0.0	0.251	0.0	0.142	0.0	0.0	0.0	0.321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.141	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCC4	0.484	0.0	0.0	0.112	0.0	0.036	0.0	0.0	0.0	0.778	0.0	0.225	0.348	0.0	0.0	0.33	0.0	0.042	0.0	0.0	0.094	0.0	0.0	0.124	0.0	0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCC5	0.0	0.0	0.0	0.0	0.0	0.0	0.042	0.0	0.0	0.0	0.0	0.234	0.0	0.0	0.0	0.0	0.0	0.524	0.0	0.0	0.227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCC6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.077	0.0	0.0	0.0	0.104	0.526	0.0	0.0	0.0	0.0	0.0	0.0	0.129	0.092	0.0	0.061	0.234	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCC8	0.0	0.0	0.0	0.0	0.756	0.0	0.0	0.0	0.0	0.0	0.254	0.0	0.0	0.0	0.478	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043	0.0	0.0	0.216	0.0	0.0	0.013	0.0	0.0	0.0
ABCC9	0.408	0.222	0.0	0.0	0.544	0.0	0.0	0.42	0.0	1.513	0.0	0.0	1.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.054	0.101	0.0	0.101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCD1	0.0	0.0	0.0	0.0	0.0	0.0	0.353	0.286	0.0	0.0	0.0	0.0	0.556	0.419	0.0	0.0	0.0	0.0	0.0	0.055	0.0	0.0	0.0	0.289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCD2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.378	0.0	0.0	0.363	0.207	0.256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.263	0.0	0.0	0.0	0.169	0.0	0.021	0.0	0.0	0.0	0.228	0.0	0.0	0.0
ABCD3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.252	0.0	0.0	0.0	0.153	0.0	0.0	0.0	0.0	0.0	0.142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCD4	0.0	0.0	0.0	0.0	0.0	0.0	0.043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.595	0.352	0.113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.156	0.102	0.0	0.0	0.0	0.0	0.268	0.0	0.0
ABCE1	0.0	0.0	0.0	0.078	0.0	0.019	0.0	0.0	0.0	0.321	0.0	0.289	0.0	0.0	0.334	0.0	0.0	0.0	0.0	0.0	0.061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.292	0.0	0.0	0.0	0.0
ABCF1	0.0	0.0	0.0	0.0	0.601	0.0	0.271	0.0	0.0	0.523	0.498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.055	0.038	0.0	0.0	0.0	0.0	0.0	0.214	0.111	0.0	0.0	0.0	0.093	0.0	0.0
ABCF2	0.0	0.0	0.0	0.076	0.0	0.0	0.0	0.0	0.0	0.024	0.148	0.0	0.0	0.0	0.0	0.0	0.259	0.0	0.0	0.108	0.11	0.0	0.0	0.316	0.158	0.158	0.084	0.146	0.0	0.121	0.0	0.0	0.0	0.0
ABCF3	0.047	0.47	0.0	0.0	0.0	0.0	0.0	0.339	0.0	0.664	0.0	0.0	0.058	0.0	0.0	0.0	0.042	0.0	0.408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCG1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.509	0.0	0.0	0.0	0.0	0.048	0.036	0.0	0.004	0.362	0.088	0.0	0.0	0.114	0.0	0.0	0.145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCG2	0.0	0.0	0.789	0.0	0.249	0.152	0.1	0.093	0.656	0.0	0.0	0.641	0.563	0.578	0.066	0.0	0.0	0.332	0.0	0.0	0.0	0.0	0.0	0.0	0.495	0.0	0.0	0.0	0.0	0.0	0.089	0.0	0.128	0.741
ABCG4	0.0	0.0	0.0	0.225	0.297	0.078	0.0	0.0	0.0	0.0	0.481	0.0	0.333	0.0	0.082	0.076	0.0	0.247	0.0	0.047	0.0	0.0	0.157	0.0	0.193	0.0	0.0	0.0	0.0	0.0	0.0	0.135	0.0	0.0
ABCG5	0.0	1.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.423	0.0	0.0	0.038	0.0	0.125	0.0	0.0	0.309	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCG8	0.0	0.001	0.203	0.122	0.583	0.0	0.264	0.0	0.0	0.0	0.0	0.0	0.542	0.155	0.0	0.022	0.0	0.0	0.0	0.0	0.289	0.0	0.0	0.0	0.083	0.122	0.0	0.134	0.0	0.0	0.266	0.0	0.0	0.0
ABHD1	0.0	0.444	0.0	0.0	0.251	0.0	0.0	0.0	0.0	0.0	0.066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.136	0.0	0.0	0.076	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.144	0.0
ABHD10	0.0	0.307	0.0	0.0	0.0	0.0	0.0	0.442	0.0	0.0	0.0	0.336	0.114	0.0	0.267	0.0	0.044	0.225	0.052	0.0	0.044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0
ABHD11	0.0	0.0	0.0	0.0	0.002	0.003	0.0	0.0	0.0	0.0	0.275	0.018	0.023	0.0	0.0	0.0	0.0	0.357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.149	0.0	0.0	0.0	0.0	0.0	0.061	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD12B	0.0	0.359	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.077	0.0	0.0	0.0	0.0	0.0	0.118	0.0	0.0	0.0	0.0	0.145	0.0	0.0
ABHD13	0.242	0.0	0.375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.141	0.0	0.0	0.0	0.0	0.631	0.085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD14A	0.0	0.0	0.597	0.0	0.0	0.272	0.0	0.0	0.0	0.0	0.195	0.0	0.0	0.0	0.064	0.078	0.0	0.0	0.0	0.0	0.0	0.0	0.073	0.0	0.0	0.0	0.0	0.157	0.0	0.164	0.0	0.0	0.0	0.0
ABHD14B	0.0	0.0	0.233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.053	0.0	0.0	0.0	0.0	0.0	0.0	0.064	0.0	0.0	0.097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD15	0.282	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.201	0.0	0.0	0.0	0.02	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD16A	0.396	0.0	0.0	0.0	0.0	0.098	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.116	0.0	0.0	0.0	0.143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.134	0.0	0.0	0.0
ABHD16B	0.0	0.0	0.0	0.182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD17A	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.106	0.0	0.0	0.066	0.0	0.0	0.0	0.079	0.0	0.0	0.0	0.0	0.0	0.0	0.158	0.0	0.0	0.0	0.0
ABHD17B	0.0	0.224	0.131	0.358	0.18	0.254	0.0	0.0	0.0	0.0	0.014	0.0	0.168	0.0	0.177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.083	0.0	0.0	0.154	0.0	0.0	0.0	0.0	0.0	0.154	0.143	0.0
ABHD17C	0.0	0.0	0.0	0.0	0.0	0.051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD2	0.334	0.0	0.0	0.0	0.064	0.15	0.073	0.0	0.0	0.0	0.327	0.0	0.0	0.0	0.17	0.073	0.0	0.0	0.082	0.319	0.0	0.0	0.0	0.0	0.161	0.0	0.0	0.0	0.154	0.0	0.0	0.147	0.0	0.0
ABHD3	0.0	0.0	0.629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.227	0.0	0.0	0.0	0.013	0.0	0.173	0.0	0.291	0.0	0.0	0.0	0.0	0.13	0.0	0.111	0.0	0.0	0.0	0.0	0.0	0.0	0.0
