	System index	System clixo/louvain name	Genes	Selection pressure	p	q	Mutation model input	Rank of model input	Mutation count
12	21815	23414	TP53,KDM6A,KMT2D,KMT2C,KANSL1,CTNNB1,NCOA6,CXXC1,KMT2A,PYGO2,HCFC2,WDR5,ASH2L,SETD1A,CHD8,DPY30,MEN1,WDR82,TNF,KMT2B,PAXIP1,USF1,KDM4B,RBBP5,SETD1B,HCFC1,RERE,HIST3H3	0.134434	0.0007	0.1029	3.608|2.708|2.609|2.173|1.438|0.891|0.618|0.436|0.203|0.154|0.074|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	1|4|6|9|32|178|507|1013|2312|2697|3419|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469	200|104|117|79|24|14|14|10|46|5|5|1|1|10|20|1|3|1|3|22|6|3|2|5|0|5|13|0
13	20950	22546	FLG,FLG2,KPRP,SBSN,LOR	0.031084	0.0007	0.1029	1.715|1.582|0.154|0.0|0.0	19|25|2697|17469|17469	68|31|10|0|0
14	21585	23182	RB1,EP300,CREBBP,SRCAP,REL,MYB,IRF3,AR,ATF4,TGS1,SIN3A	0.023644	0.0007	0.1029	2.747|2.061|1.788|0.387|0.217|0.112|0.0|0.0|0.0|0.0|0.0	3|11|16|1202|2207|3045|17469|17469|17469|17469|17469	77|63|51|34|7|7|4|5|4|8|11
15	20095	21691	PARD3,MARK2,YWHAZ,MARK3	0.011274	0.0008	0.1103	1.277|0.7|0.578|0.0	50|359|587|17469	24|12|7|6
16	20551	22147	ARID1A,MYH10,SOX2,MKI67	0.009552	0.0010	0.1213	2.674|0.64|0.403|0.0	5|455|1142|17469	104|23|6|36
17	19966	21562	ERCC2,CDK7,DCTN4,ERCC3	0.007240	0.0010	0.1213	1.915|0.382|0.197|0.0	12|1223|2351|17469	38|6|6|7
18	21112	22708	BCLAF1,THRAP3,TRA2B,SRSF1,SRSF10,RNPS1	0.011816	0.0011	0.1213	1.359|0.93|0.518|0.506|0.0|0.0	38|148|735|772|17469|17469	22|17|7|6|0|1
19	20455	22051	MED13,MED12,CDK8,MED13L	0.008302	0.0011	0.1213	1.419|0.557|0.27|0.0	34|635|1865|17469	35|22|6|15
20	20498	22094	FBXW7,CUL1,SKP1,RBX1	0.005760	0.0012	0.1261	1.885|0.48|0.337|0.0	14|847|1459|17469	33|19|5|1
21	19969	21565	ERBB3,ERBB2,EGF,GRB7	0.006615	0.0013	0.1304	1.752|1.434|0.886|0.0	17|33|183|17469	43|50|19|3
22	21357	22953	ASXL2,ASXL1,BAP1,FOXK1,FOXK2,KDM1B,HDAC1	0.008980	0.0015	0.1324	1.648|0.947|0.722|0.0|0.0|0.0|0.0	22|139|341|17469|17469|17469|17469	35|24|15|0|6|6|4
23	21448	23044	EIF4G3,EIF4A2,EIF3I,PABPC4,EIF4A1,EIF4E,EIF3B,EIF4G1	0.007862	0.0015	0.1324	0.958|0.919|0.483|0.274|0.258|0.083|0.0|0.0	128|158|841|1827|1939|3330|17469|17469	24|12|7|8|5|3|7|12
24	21294	22890	NFE2L2,KLHL2,CUL3,KLHL12,KEAP1,PSAT1,PGAM5	0.007207	0.0015	0.1324	1.584|0.495|0.386|0.372|0.229|0.0|0.0	23|814|1207|1273|2123|17469|17469	26|9|9|7|8|4|2
25	21760	23359	TP53,RB1,ERBB3,EGF,FRS2,FGF5,IGF2,IGF1,FGF1,TGFB1,FGF2,AREG,JUNB,HBEGF,FGF7,EGFR,ERBB4,TGFA,MYC	0.034001	0.0016	0.1358	3.608|2.747|1.752|0.886|0.634|0.218|0.144|0.097|0.057|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	1|3|17|183|474|2203|2775|3203|3571|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469	200|77|43|19|9|4|3|2|2|2|0|2|3|2|1|7|12|0|3
26	20216	21812	RNF111,SKIL,NCOR1,SKI	0.008081	0.0018	0.1471	1.009|0.763|0.638|0.0	109|291|457|17469	17|12|32|1
27	20135	21731	ZC3H13,WTAP,KIAA1429,CBLL1	0.006557	0.0023	0.1708	1.018|0.572|0.337|0.292	103|602|1459|1718	17|8|22|6
28	20127	21723	COL5A2,LAMA4,COL3A1,PDGFRB	0.004866	0.0023	0.1708	0.919|0.645|0.388|0.0	158|447|1199|17469	19|24|15|5
29	21014	22610	RXRA,NCOA1,NCOA2,THRA,PPARD,ITGB3BP	0.006726	0.0024	0.1708	1.357|1.148|0.179|0.0|0.0|0.0	39|70|2510|17469|17469|17469	23|22|12|2|6|2
30	21074	22670	SF3B1,SF3B3,SF3A3,SNRPA1,SF3A1,SF3A2	0.002953	0.0024	0.1708	1.313|1.187|0.426|0.239|0.0|0.0	45|60|1050|2063|17469|17469	24|22|7|4|6|1
31	21659	23257	TP53,CASP1,YWHAZ,FADD,MAPK8,TNFRSF10B,CYCS,BID,DAXX,PARP1,BAX,CASP3,FAS	0.006180	0.0026	0.1792	3.608|0.859|0.578|0.539|0.187|0.035|0.0|0.0|0.0|0.0|0.0|0.0|0.0	1|211|587|677|2431|3792|17469|17469|17469|17469|17469|17469|17469	200|11|7|7|4|6|1|2|8|11|1|2|1
32	21547	23144	ERCC2,BRIP1,ABCE1,CIAO1,POLD1,FAM96B,FBXL5,MMS19,PRIM2,NARFL	0.007302	0.0028	0.1872	1.915|0.831|0.289|0.219|0.086|0.051|0.0|0.0|0.0|0.0	12|229|1736|2198|3299|3632|17469|17469|17469|17469	38|21|7|5|7|2|5|4|2|2
33	21837	23437	TP53,BRCA1,BRCA2,KIF15,BARD1,BUD13,DDX52,BLM,RAD51,H2AFX,RAD51C,BRE,PCNA,FANCD2,XRCC2,MCM5,POLD1,FEN1,XRCC3,BRCC3,CHTF18,LIG1,DMC1,TOP2A,ASF1B,RAD51B,RAD51D,E2F1,PLK1,PALB2,WRN,MYO5B,BUB1B,RPA1,SWSAP1,MCPH1	0.030225	0.0030	0.1891	3.608|1.175|0.923|0.921|0.83|0.763|0.72|0.547|0.483|0.392|0.363|0.332|0.328|0.295|0.243|0.118|0.086|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	1|62|154|156|230|291|343|655|841|1185|1329|1482|1497|1697|2035|3000|3299|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469	200|21|40|18|11|12|10|16|7|4|6|7|5|17|4|6|7|3|2|2|5|5|3|9|2|4|3|4|4|14|7|14|10|0|2|7
34	20384	21980	TRRAP,ING3,MORF4L1,KAT5	0.001869	0.0030	0.1891	1.345|0.387|0.18|0.0	40|1202|2497|17469	38|7|5|4
35	21885	23485	76 genes including: TP53,RB1,CDKN1A,EP300,CREBBP,NCOA1,USP7,CTNNB1,BARD1,COPS2,ZEB1,SIRT1,NCOA6,CDKN1B,DCAF6,KHDRBS1,CHEK2,SMARCC1,SRCAP,SKP2,ITCH,SMARCE1,RELA,RAD23A,REL,RREB1,NCOA3,NCOA2,JUN,NR0B1,MYB,NR3C1,TRIM27,UBE2D1,CARM1,RCHY1,HDAC3,MDM2,NR0B2,TSG101,TNF,HIST1H3A,TP73,MYC,UBC,TERT,SMAD2,IRF1,SMAD7,HIST3H3	0.135566	0.0033	0.1968	3.608|2.747|2.124|2.061|1.788|1.148|0.949|0.891|0.83|0.754|0.687|0.623|0.618|0.587|0.57|0.546|0.493|0.394|0.387|0.307|0.275|0.27|0.247|0.228|0.217|0.191|0.188|0.179|0.175|0.127|0.112|0.083|0.043|0.041|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	1|3|10|11|16|70|138|178|230|297|379|495|507|568|607|658|818|1177|1202|1624|1823|1865|2012|2130|2207|2403|2425|2510|2554|2923|3045|3330|3697|3713|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469	200|77|39|63|51|22|15|14|11|10|14|10|14|6|13|9|10|10|34|6|11|4|6|6|7|16|16|12|4|5|7|8|5|2|7|3|1|3|2|3|3|1|6|3|6|4|4|2|3|0
36	21480	23076	TP53,EP300,NCOA6,CXXC1,ASH2L,SETD1A,SETD1B,BOD1,BOD1L1	0.004480	0.0033	0.1968	3.608|2.061|0.618|0.436|0.0|0.0|0.0|0.0|0.0	1|11|507|1013|17469|17469|17469|17469|17469	200|63|14|10|1|10|0|0|20
37	21838	23438	TP53,ARID1A,CREBBP,BRCA1,SMARCA2,ARID2,ARID1B,DPF2,ACTL6A,BRD7,SMARCC1,SMARCE1,SMARCB1,NR3C1,SMARCA4,CARM1,GLTSCR1,HDAC2,BCL7A,BCL7B,BCL7C,HIST1H3A,MYC,BRD9,PBRM1,CHD4,TERT,SMARCD2,SMARCC2,SMARCD1,SMARCD3,TNF,SIN3A,PHF10,HIRA,SS18	0.051481	0.0034	0.1974	3.608|2.674|1.788|1.175|1.089|1.052|1.009|0.63|0.452|0.407|0.394|0.27|0.265|0.083|0.069|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	1|5|16|62|84|95|109|479|950|1130|1177|1865|1896|3330|3465|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469	200|104|51|21|26|32|24|8|7|12|10|4|5|8|24|7|7|3|2|1|0|1|3|4|19|24|4|1|17|5|4|3|11|2|10|3
38	20649	22245	RNF111,NUP107,PML,SUMO1,SUMO2	0.002742	0.0037	0.2048	1.009|0.879|0.295|0.159|0.0	109|191|1697|2660|17469	17|12|8|2|1
39	21381	22977	PTEN,CDC27,ANAPC5,FZR1,USP37,CDC16,ANAPC4,ANAPC7	0.001909	0.0038	0.2048	1.205|0.683|0.543|0.123|0.0|0.0|0.0|0.0	58|381|668|2964|17469|17469|17469|17469	16|9|11|5|11|4|9|6
40	22026	cut0.25-184	GRIA4,GRIA1,GRIK1,GRIK2,GRIK3,GRIA2	0.002748	0.0039	0.2048	0.86|0.788|0.096|0.091|0.021|0.0	210|263|3213|3267|3950|17469	19|17|10|17|15|9
41	20585	22181	BRCA1,BRCA2,BLM,RAD51	0.002247	0.0039	0.2048	1.175|0.923|0.547|0.483	62|154|655|841	21|40|16|7
42	21803	23402	PIK3CA,ACTB,RAI14,ACTG1,MYH10,CFL2,CORO1C,NEXN,ACTA1,CAPZA2,MYL12B,MYL6,ACTN4,MYO1C,BASP1,PPP1R18,DAPK3,CFL1,MYL6B,IQGAP1,MYO5A,DBN1,LIMA1,MYH9	0.008924	0.0040	0.2052	2.782|1.209|1.034|0.742|0.64|0.364|0.34|0.157|0.113|0.028|0.023|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	2|57|102|309|455|1326|1445|2670|3042|3878|3926|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469	89|17|17|11|23|4|6|6|4|3|2|1|13|5|2|7|3|1|0|12|11|5|11|29
43	20063	21658	TAF11,TAF3,TAF6,TAF10	0.002229	0.0043	0.2156	0.833|0.436|0.348|0.0	226|1013|1397|17469	9|10|8|1
44	20044	21640	CASP8,CASP1,NLRC4,CASP6	0.002685	0.0044	0.2157	0.953|0.859|0.0|0.0	135|211|17469|17469	15|11|9|1
45	21687	23285	NCOR2,NCOR1,TBL1XR1,SIRT1,GPS2,PRRC2C,PML,TBL1X,NR3C1,ANKRD11,HIST1H4A,HDAC3,ZBTB7A,PPARD	0.005549	0.0047	0.2161	0.726|0.638|0.627|0.623|0.613|0.382|0.295|0.2|0.083|0.0|0.0|0.0|0.0|0.0	334|457|487|495|516|1223|1697|2330|3330|17469|17469|17469|17469|17469	15|32|9|10|8|16|8|5|8|25|2|1|4|6
46	21068	22664	STAG2,RAD21,SMC3,SMC1A,PDS5B,STAG1	0.002712	0.0047	0.2161	1.184|1.07|0.0|0.0|0.0|0.0	61|88|17469|17469|17469|17469	56|17|8|14|14|22
47	21699	23297	HRAS,KRAS,NRAS,BRAF,MAPK3,MAPK8,ARAF,MAPK1,RAF1,MAP2K1,MAP2K2,RRAS2,MAP2K7,MAP3K1	0.003490	0.0048	0.2161	1.337|1.252|0.749|0.491|0.346|0.187|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	42|51|302|825|1411|2431|17469|17469|17469|17469|17469|17469|17469|17469	17|15|8|13|8|4|2|2|5|2|4|0|3|11
48	20647	22243	RHOA,NGLY1,RAD23A,RAD23B,XPC	0.000820	0.0048	0.2161	1.462|0.587|0.228|0.0|0.0	30|568|2130|17469|17469	19|10|6|3|5
49	21722	23321	TP53,SMC6,SMC5,SMC2,SMC4,RFC3,RFC5,SMC1A,NSMCE1,NSMCE2,NSMCE3,NSMCE4A,SLF2,EID3,RAD18	0.007125	0.0050	0.2163	3.608|0.91|0.697|0.664|0.634|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	1|166|363|411|474|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469	200|12|15|16|17|1|3|14|7|2|0|1|0|2|2
50	20118	21714	RC3H1,CNOT1,CNOT8,RNF219	0.002404	0.0050	0.2163	1.012|0.607|0.0|0.0	106|531|17469|17469	20|24|2|5
51	21282	22878	TRRAP,CTNNB1,PIH1D1,RUVBL1,TTI1,TELO2,RUVBL2	0.002605	0.0055	0.2246	1.345|0.891|0.294|0.185|0.0|0.0|0.0	40|178|1704|2455|17469|17469|17469	38|14|5|7|11|6|2
52	20956	22552	PIK3CA,MTDH,FXR2,PALB2,FXR1	0.001757	0.0055	0.2246	2.782|0.596|0.032|0.0|0.0	2|550|3825|17469|17469	89|7|7|14|4
53	21728	23327	ARID1A,SMARCA2,ARID2,ARID1B,DPF2,ACTL6A,BRD7,SMARCC1,SMARCE1,SMARCB1,SMARCA4,SMARCC2,SMARCD1,SMARCD2,PBRM1,PHF10	0.001529	0.0055	0.2246	2.674|1.089|1.052|1.009|0.63|0.452|0.407|0.394|0.27|0.265|0.069|0.0|0.0|0.0|0.0|0.0	5|84|95|109|479|950|1130|1177|1865|1896|3465|17469|17469|17469|17469|17469	104|26|32|24|8|7|12|10|4|5|24|17|5|1|19|2
54	21821	23420	EP300,CREBBP,PTEN,CTNNB1,EGF,CDKN1B,YWHAZ,DDX5,PPP1CA,PRKCI,PRKCQ,SMARCB1,NCOA3,NCOA2,BCL10,SLC9A3R1,CARM1,CDC37,CHUK,JADE1,SMAD2,SQSTM1,EZH2,ILK,E2F1,FOXO4,PHLPP1,AR,VIM,IKBKB,AKT1	0.013799	0.0056	0.2246	2.061|1.788|1.205|0.891|0.886|0.587|0.578|0.52|0.517|0.386|0.332|0.265|0.188|0.179|0.144|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	11|16|58|178|183|568|587|728|736|1207|1482|1896|2425|2510|2775|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469	63|51|16|14|19|6|7|11|7|9|10|5|16|12|3|1|7|4|7|5|4|3|6|2|4|1|8|5|6|10|4
55	20191	21787	TFG,CHMP2A,IST1,CHMP3	0.002170	0.0062	0.2434	0.865|0.665|0.0|0.0	208|410|17469|17469	11|8|2|1
56	21859	23459	RB1,EP300,CREBBP,NFE2L2,PSIP1,BRCA1,CSNK2A1,CREB5,NCOA6,SP1,ETS1,FOSL2,BATF3,JUN,CCND3,FOSL1,MAP2K4,HDAC1,MAPK9,XRCC6,SYNCRIP,NFE2,NFE2L1,PPARG,MYC,ATF4,FOS,FOSB,SMAD3,ATF2,JUNB,JUND,STAT3,TNF,HIF1A,HMGA1,HMGA2,ATF3,DAXX,CREB1,ATF7,NPM1,MAPK10	0.036975	0.0064	0.2434	2.747|2.061|1.788|1.584|1.332|1.175|0.889|0.659|0.618|0.265|0.232|0.224|0.198|0.175|0.175|0.149|0.137|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	3|11|16|23|43|62|181|423|507|1896|2102|2173|2343|2554|2554|2737|2830|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469	77|63|51|26|20|21|12|10|14|10|5|5|2|4|5|4|4|4|4|2|2|2|6|15|3|4|4|2|8|2|3|2|5|3|6|0|1|0|8|0|5|0|9
57	19961	21557	ATP6V1A,ATP6V1B1,ATP6V1C1,ATP6V1B2	0.001934	0.0064	0.2434	0.79|0.441|0.394|0.0	259|987|1177|17469	11|9|6|2
58	21622	23219	TP53,PTEN,USP7,PTK2,AR,DAXX,HSPA8,USP10,AKT2,SEC23A,PARK7,KIF5B	0.003041	0.0069	0.2525	3.608|1.205|0.949|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	1|58|138|17469|17469|17469|17469|17469|17469|17469|17469|17469	200|16|15|10|5|8|10|7|4|6|2|8
59	20858	22454	USP7,MCM4,DNMT1,DNMT3A,UHRF1	0.000992	0.0069	0.2525	0.949|0.783|0.0|0.0|0.0	138|268|17469|17469|17469	15|13|10|8|0
60	22481	cut0.3-470	303 genes including: TP53,PIK3CA,RB1,FGFR3,ERBB3,CDKN2A,NFE2L2,RHOA,ERBB2,HRAS,KRAS,HSP90AA1,PTEN,CTNNB1,EGF,SOS1,TLN1,PSMC6,PHLDB2,DCT,SMCHD1,BUD13,ASAP2,SLC24A1,FNBP1,STAT1,MYH10,PDGFRA,FRS2,DDR2,KHDRBS1,EPS8,CD2AP,ARHGAP32,TAB3,ARHGEF7,FBXO28,DAB2,PPM1A,SPRY4,MAPK3,WIPF2,GCFC2,SPRY2,SRC,ARRB1,DOCK1,PIK3R1,FGF9,NAMPT	0.162768	0.0071	0.2525	3.608|2.782|2.747|2.209|1.752|1.742|1.584|1.462|1.434|1.337|1.252|1.227|1.205|0.891|0.886|0.878|0.876|0.871|0.84|0.788|0.777|0.763|0.76|0.728|0.698|0.688|0.64|0.635|0.634|0.621|0.546|0.502|0.463|0.442|0.436|0.395|0.385|0.374|0.373|0.373|0.346|0.344|0.34|0.338|0.324|0.321|0.311|0.31|0.284|0.279	1|2|3|8|17|18|23|30|33|42|51|55|58|178|183|193|194|198|219|263|274|291|293|329|362|374|455|470|474|497|658|791|915|981|1013|1172|1211|1261|1270|1270|1411|1422|1445|1455|1515|1539|1597|1605|1767|1802	200|89|77|57|43|27|26|19|50|17|15|21|16|14|19|21|20|11|20|11|23|12|11|10|10|11|23|15|9|9|9|12|9|23|9|11|6|9|7|4|8|8|11|5|6|5|13|7|4|5
61	22022	cut0.25-179	ZNF626,ZNF737,ZNF486,ZNF253,ZNF43,ZNF85,ZNF493,ZNF100,ZNF708,ZNF681,ZNF506	0.002905	0.0073	0.2525	1.05|0.828|0.598|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	97|233|547|17469|17469|17469|17469|17469|17469|17469|17469	15|13|10|4|6|6|12|3|3|6|4
62	21661	23259	MYO1F,FERMT3,PTPRC,TNFRSF8,CD27,IFNG,CD28,CD40,CD53,CD44,AIF1,ITGB2,CYBB	0.002885	0.0075	0.2525	0.924|0.611|0.404|0.345|0.245|0.242|0.155|0.0|0.0|0.0|0.0|0.0|0.0	153|523|1136|1416|2022|2039|2685|17469|17469|17469|17469|17469|17469	20|14|16|9|6|3|3|2|1|2|0|7|3
63	21394	22990	TRRAP,CTNNB1,SKP1,PER1,CACYBP,BTRC,FBXL3,FBXW11	0.001527	0.0077	0.2525	1.345|0.891|0.337|0.051|0.0|0.0|0.0|0.0	40|178|1459|3632|17469|17469|17469|17469	38|14|5|6|1|4|3|1
64	21531	23128	SOS1,PDGFRA,FRS2,EPS8,GRB2,PTPN12,BCAR1,EGFR,PTPN6,SHC1	0.001656	0.0078	0.2525	0.878|0.635|0.634|0.502|0.0|0.0|0.0|0.0|0.0|0.0	193|470|474|791|17469|17469|17469|17469|17469|17469	21|15|9|12|1|7|5|7|3|8
65	20434	22030	EXOC4,EXOC1,EXOC3,EXOC2	0.001362	0.0079	0.2525	0.643|0.605|0.179|0.0	450|538|2510|17469	13|9|8|10
66	20802	22398	STAT1,KIT,IL6,KITLG,IL4	0.002005	0.0082	0.2525	0.688|0.504|0.368|0.189|0.0	374|782|1299|2416|17469	11|12|5|5|0
67	21411	23007	KIAA1522,WASF2,NCKAP1,ABI2,ABI1,CYFIP1,BAIAP2,BRK1	0.001291	0.0082	0.2525	0.569|0.561|0.354|0.268|0.176|0.0|0.0|0.0	608|626|1370|1880|2542|17469|17469|17469	16|8|12|7|5|8|5|0
68	22494	cut0.3-483	2845 genes including: TP53,RB1,ELF3,CDKN1A,EP300,ATM,FBXW7,CREBBP,ERBB3,CDKN2A,TSC1,NFE2L2,MACF1,RHOA,ERBB2,KLF5,RXRA,TRRAP,HRAS,PSIP1,USP34,AHR,PARD3,KRAS,HSP90AA1,PTEN,BRCA1,MECOM,NCOA1,LRRCC1,LRP2,ATN1,DCAF12,NISCH,PTPN4,RNF111,IKZF2,RIPK4,KIF21A,CASP8,MARCH7,USP7,ASXL1,RB1CC1,C15orf39,HES1,JMJD1C,RUNX1,HELZ,CTNNB1	0.097051	0.0083	0.2525	3.608|2.747|2.367|2.124|2.061|1.908|1.885|1.788|1.752|1.742|1.668|1.584|1.583|1.462|1.434|1.414|1.357|1.345|1.337|1.332|1.305|1.288|1.277|1.252|1.227|1.205|1.175|1.159|1.148|1.139|1.124|1.118|1.094|1.042|1.009|1.009|0.988|0.976|0.954|0.953|0.95|0.949|0.947|0.938|0.933|0.931|0.927|0.915|0.902|0.891	1|3|7|10|11|13|14|16|17|18|21|23|24|30|33|35|39|40|42|43|46|49|50|51|55|58|62|68|70|71|74|76|83|98|109|109|116|119|133|135|137|138|139|145|146|147|150|161|171|178	200|77|52|39|63|55|33|51|43|27|34|26|59|19|50|22|23|38|17|20|38|23|24|15|21|16|21|19|22|18|41|16|14|14|15|17|14|17|23|15|12|15|24|22|16|11|23|13|21|14
69	21475	23071	DHTKD1,OGDH,DLD,MRPS36,PDHA1,ATP5H,UQCRC1,OGDHL,DLST	0.001689	0.0083	0.2525	0.802|0.677|0.413|0.164|0.0|0.0|0.0|0.0|0.0	250|392|1101|2632|17469|17469|17469|17469|17469	11|18|8|2|5|1|2|10|1
70	20575	22171	PSMC6,PSMD1,PSMC5,PSMD2	0.000809	0.0084	0.2525	0.871|0.491|0.0|0.0	198|825|17469|17469	11|8|4|7
71	21399	22995	ERCC2,BRCA2,MSH2,ERCC3,ERCC5,CCNH,GTF2H1,GTF2H4	0.001982	0.0085	0.2525	1.915|0.923|0.405|0.0|0.0|0.0|0.0|0.0	12|154|1135|17469|17469|17469|17469|17469	38|40|11|7|2|3|5|3
