System.names	No.genes	Selection.pressure	p	q	Genes	Gene.ranks	Signal
BACH1	278	0.0296	0.028	0.8746	ZC3H4|WBP4|MTHFS|NLGN4Y|ATP6V0C|ENSA|FCER1G|CLK1|POLR2F|ABCB9|PMVK|TTF1|ARNTL|USPL1|DSCR3|STARD13|MYO1B|EIF5|JOSD1|SEC24B	4|27|32|78|100|112|129|135|139|199|228|234|236|236|238|269|280|293|307|338	6.37|5.81|5.75|5.47|-5.38|5.32|5.27|5.24|5.22|5|-4.9|4.88|-4.87|4.87|4.86|4.77|-4.75|-4.72|4.7|4.63
LMO4	280	0.0181	0.028	0.8746	CEP110|U2AF2|ENDOD1|B4GALT6|SRRT|VWA5A|EIF4G3|RANBP6|ABHD5|BTAF1|SUPT5H|KLC1|SULT4A1|TP53I3|STXBP3|BMI1|ZNF318|AUH|MXRA5|ALDOA	46|49|117|120|120|129|130|137|139|160|184|205|205|212|244|275|312|362|362|418	-5.67|-5.62|-5.3|5.29|5.29|5.27|5.26|5.23|5.22|5.13|5.05|4.98|4.98|4.94|-4.85|4.76|4.69|-4.57|4.57|-4.45
EGR3	307	0.0221	0.03	0.8746	ABCD4|WBP4|CS|RDBP|NCKAP1L|DNM1L|HLA-DMA|LILRB2|TNFAIP3|PLCB2|UBA7|ARNTL|SEC22B|SNRPC|EPRS|CAPN2|FAM120A|FCHSD2|PWP1|ZNF593	10|27|66|70|82|84|110|176|184|187|199|236|259|261|284|307|358|358|358|369	6.12|5.81|5.52|5.51|-5.45|5.43|5.33|-5.07|5.05|5.03|-5|-4.87|4.8|4.79|4.74|-4.7|4.58|-4.58|4.58|-4.55
ZNF101	301	0.022	0.032	0.8746	ROR1|SLC25A16|BTBD3|ADA|PTCH1|NLGN4Y|HIST1H2AE|BCL2|DST|CAMSAP1L1|HADHA|ETS2|UBE2A|NFX1|BMPR2|MPG|BAIAP3|EEF2|ZFPL1|TNFAIP2	6|36|39|43|47|78|80|106|112|115|152|184|210|228|244|269|289|307|319|415	6.33|5.72|-5.71|5.68|5.63|5.47|5.46|5.34|5.32|5.31|5.15|5.05|-4.95|4.9|-4.85|4.77|4.73|-4.7|-4.67|-4.46
HOXA5	232	0.0199	0.032	0.8746	SORBS2|ARHGEF17|SPAG9|HNRNPK|RPIA|DSCR3|EPHB6|DHCR24|MYO1B|NRD1|OVGP1|SLC26A2|ESD|CASP1|GALNS|EIF1|EIF1AX|PCK1|BCLAF1|DYNC1H1	96|126|135|168|190|238|269|275|280|297|312|327|344|426|442|450|450|479|509|529	-5.39|-5.28|5.24|5.1|5.02|4.86|-4.77|4.76|-4.75|4.71|4.69|-4.65|-4.62|-4.44|4.39|-4.37|-4.37|4.31|4.26|4.22
NR2F2	388	0.0345	0.033	0.8746	TIAM1|BTBD3|RIN2|NCKAP1L|VPRBP|SORBS2|FMOD|CAMSAP1L1|ARHGEF17|VDAC2|ETS2|SUPT5H|GRAP2|TAF6L|THBD|HOXC6|LDB2|MYO1B|CREG1|SRGN	33|39|72|82|91|96|110|115|126|144|184|184|207|228|269|280|280|280|307|312	5.74|-5.71|-5.5|-5.45|-5.41|-5.39|5.33|5.31|-5.28|-5.19|5.05|5.05|4.97|4.9|4.77|4.75|4.75|-4.75|4.7|-4.69
MLX	317	0.0228	0.034	0.8746	MANF|RPL12|KCNAB2|ALDH9A1|CAMSAP1|FABP5|HOMER2|ATP6V0C|UTF1|ERH|RPS19|PLXNA2|ABCB9|M6PR|ADD1|E2F3|NR1D1|R3HDM1|SEC22B|POLD3	30|31|52|61|61|75|87|100|115|142|148|156|199|202|234|244|244|251|259|269	5.77|5.76|5.59|5.55|5.55|5.49|5.42|-5.38|5.31|-5.21|5.16|5.14|5|-4.99|4.88|4.85|4.85|4.83|4.8|4.77
IRF2	193	0.0129	0.037	0.8746	TSN|CS|SLC25A36|SRF|ABCB9|ARNTL|CNPY3|LMAN2|DOK1|PLEK|APOBEC3F|ARCN1|STK25|IVD|RASA2|DLST|BCLAF1|LMO1|PSMB9|APOBEC3C	61|66|110|176|199|236|248|284|351|382|397|426|450|472|485|494|509|558|574|580	5.55|5.52|-5.33|5.07|5|-4.87|-4.84|4.74|-4.6|-4.52|-4.49|-4.44|4.37|-4.33|-4.3|4.29|4.26|4.17|4.15|4.14
RUNX1T1	161	0.0105	0.037	0.8746	MTMR11|CYP24A1|TNFRSF8|ENSA|SNRNP27|CTNND1|NFX1|PMVK|GPLD1|CFD|ZNF318|AOX1|TNFRSF10B|PTPRG|CUL7|PCDHGA12|GATM|TAL1|BAIAP2|AGFG2	25|57|103|112|135|216|228|228|284|289|312|351|369|388|415|438|456|459|647|655	-5.84|-5.56|5.36|5.32|5.24|-4.93|4.9|-4.9|4.74|4.73|4.69|-4.6|-4.55|-4.51|-4.46|-4.41|-4.36|4.35|4.02|-4.01
ZNF35	210	0.0095	0.045	0.8746	VPRBP|VPS41|KLF5|ARHGAP6|C1QL1|UBE2A|ADD1|PLK1|BAIAP3|EIF5|UBL4A|ESD|CDK2AP2|CUL7|PCDHGA12|EIF1|EIF1AX|TAL1|ANKRD40|ERCC8	91|96|142|148|194|210|234|244|289|293|333|344|415|415|438|450|450|459|494|524	-5.41|5.39|5.21|5.16|5.01|-4.95|4.88|4.85|4.73|-4.72|-4.64|-4.62|4.46|-4.46|-4.41|-4.37|-4.37|4.35|-4.29|-4.23
SOX2	361	0.0154	0.049	0.8746	TRIM25|MTMR11|RPL12|HOXD13|ABCC10|CLEC11A|UBE2E1|TIMP1|EXTL1|ACADL|TTLL3|ARHGAP6|TRIM29|HSPA13|HYAL3|WDR46|NFX1|KRT5|NCOA1|EIF5	8|25|31|72|75|82|87|100|106|129|146|148|169|184|202|216|228|257|257|293	6.26|-5.84|5.76|5.5|5.49|5.45|5.42|-5.38|-5.34|-5.27|5.17|5.16|5.09|-5.05|4.99|-4.93|4.9|-4.81|4.81|-4.72
HELZ	217	0.0115	0.049	0.8746	RAB3GAP2|CS|MGST3|THOC2|KCNA5|RNF115|BST2|LPHN3|PLAT|DDIT4|KDM6B|CTF1|ISCA1|IGF1|RASA2|MYH3|LYN|PSMD13|GNG5|ASNA1	54|66|91|115|156|209|228|259|333|344|373|382|402|415|485|524|558|566|580|618	5.58|5.52|5.41|5.31|5.14|4.96|4.9|-4.8|4.64|-4.62|-4.54|-4.52|4.48|-4.46|-4.3|4.23|-4.17|-4.16|-4.14|4.07
RCAN1	398	0.0228	0.05	0.8746	ALDH9A1|KCNA3|MGST3|VDAC2|BLVRB|SERPINB6|PLA2G4C|WNK1|BST2|RNF41|DSTN|STARD13|CREG1|MRPS11|SRGN|KLK3|PLAT|THBS2|ACO1|MXRA5	61|70|91|144|179|194|212|219|228|248|251|269|307|307|312|321|333|348|358|362	5.55|5.51|5.41|-5.19|-5.06|5.01|4.94|4.92|4.9|-4.84|-4.83|4.77|4.7|-4.7|-4.69|4.66|4.64|-4.61|-4.58|4.57
ZNF518A	250	0.0104	0.05	0.8746	TXNL4A|VPS13D|EIF4G3|PRKAA2|SPAG9|THUMPD1|WNK1|STXBP3|SEC22B|C1orf9|MRFAP1L1|SEC24B|PLEK|ATP7A|ATP11B|NFYC|IL11RA|OAS2|RPL6|UBE3C	12|15|130|135|135|160|219|244|259|319|327|338|382|467|494|494|518|529|534|604	6.1|6.05|5.26|5.24|5.24|5.13|4.92|-4.85|4.8|4.67|4.65|4.63|-4.52|4.34|4.29|4.29|4.24|4.22|4.21|4.1
TCF4	341	0.0201	0.051	0.8746	LDHA|ROR1|WNT10B|KIAA0141|CS|KCNA3|FABP5|B4GALT6|SPAG9|HIST1H3D|ATP5C1|BLVRB|GFPT2|CUL5|LYPLA1|NFX1|PMVK|MYO1B|RHOQ|USP24	5|6|8|40|66|70|75|120|135|156|160|179|199|205|222|228|228|280|293|297	6.34|6.33|6.26|5.69|5.52|5.51|5.49|5.29|5.24|5.14|5.13|-5.06|-5|4.98|4.91|4.9|-4.9|-4.75|-4.72|4.71
TFDP2	256	0.0124	0.051	0.8746	TXNL4A|ST5|PTPRCAP|SORBS2|HLA-DMA|ARHGEF17|PMVK|CASP8|WNT5A|POLD1|EPHB6|BMI1|SLC26A2|FAM120A|POU2F1|PEA15|CASP1|HLA-DRB4|ZNF222|TK1	12|93|96|96|110|126|228|248|248|253|269|275|327|358|362|392|426|536|543|580	6.1|5.4|5.39|-5.39|5.33|-5.28|-4.9|4.84|-4.84|4.82|-4.77|4.76|-4.65|4.58|-4.57|4.5|-4.44|4.2|-4.19|4.14
MXD1	202	0.0114	0.051	0.8746	CLTA|TSN|ATP6V0C|VWA5A|KLF5|DRG1|FMNL1|RPIA|SAT1|ESD|NR4A2|KDELR2|MET|RHBDL1|TRIB1|GALNT1|EREG|ATP6V0A2|ERCC8|BUB1B	28|61|100|129|142|152|168|190|190|344|364|432|432|467|473|485|513|518|524|529	5.8|5.55|-5.38|5.27|5.21|5.15|5.1|5.02|5.02|-4.62|4.56|-4.43|4.43|4.34|-4.32|-4.3|4.25|-4.24|-4.23|-4.22
SIX1	203	0.0103	0.051	0.8746	AKAP12|ACADL|KIF3B|FADS1|BMPR2|PADI2|IDI1|HOXC6|KLK3|HP|CUL7|VHL|ZMIZ2|PCDHGA12|TNFSF8|CENPF|GALNT1|ANKRD40|ARR3|DYNC1H1	18|129|161|238|244|261|269|280|321|352|415|415|432|438|445|459|485|494|499|529	6|-5.27|5.12|4.86|-4.85|-4.79|-4.77|4.75|4.66|4.59|-4.46|-4.46|-4.43|-4.41|-4.38|-4.35|-4.3|-4.29|4.28|4.22
POU1F1	187	0.0079	0.056	0.8746	COX10|WNT10B|PBX2|SERPINA1|BBOX1|RPL38|RPS17|SERPINB6|DSCR3|APBB1|BMI1|LMAN2|BAIAP3|GYPE|GYS2|CD3G|PLEKHB1|PLEK|ADD2|LDOC1	4|8|46|63|137|168|176|194|238|275|275|284|289|307|307|327|333|382|397|436	6.37|6.26|5.67|5.54|5.23|-5.1|5.07|5.01|4.86|4.76|4.76|4.74|4.73|4.7|4.7|4.65|4.64|-4.52|4.49|4.42
BCL3	323	0.012	0.06	0.8746	POP5|MTF1|UBE2E1|CLCN7|ATP5C1|HSPA13|RPIA|GFPT2|SOD1|ETFDH|R3HDM1|SNRPC|POLD3|THBD|IL1B|NFAT5|VPS11|RFPL1|KDM6B|CTF1	2|39|87|126|160|184|190|199|234|244|251|261|269|269|289|312|319|344|373|382	6.45|5.71|5.42|5.28|5.13|-5.05|5.02|-5|-4.88|-4.85|4.83|4.79|4.77|4.77|-4.73|-4.69|4.67|-4.62|-4.54|-4.52
IRF8	266	0.0103	0.062	0.8746	AMH|TFF2|PSMC1|VPS41|HLA-DMA|CAMSAP1L1|ABHD5|KLF5|BTAF1|PTPRE|POLD4|DYNLT3|FCGR3A|SCRN1|TICAM1|CCDC6|SRGN|CDH18|PGAP1|PLEK	9|22|36|96|110|115|139|142|160|176|186|194|269|275|280|297|312|369|373|382	6.23|5.88|5.72|5.39|5.33|5.31|5.22|5.21|5.13|-5.07|5.04|5.01|4.77|4.76|4.75|4.71|-4.69|-4.55|4.54|-4.52
CEBPB	387	0.0141	0.063	0.8746	TIAM1|PBX2|CLPS|SMAP1|RIN2|MGST3|VPRBP|TIMP1|SLC25A36|THOC2|FCER1G|HMGA1|SRF|BLVRB|POLD4|SERPINB6|CD14|PLIN2|ZEB2|FADS1	33|46|49|56|72|91|91|100|110|115|129|152|176|179|186|194|207|222|222|238	5.74|5.67|5.62|-5.57|-5.5|5.41|-5.41|-5.38|-5.33|5.31|5.27|5.15|5.07|-5.06|5.04|5.01|4.97|4.91|4.91|4.86
ESR1	214	0.0091	0.064	0.8746	POU3F2|HOXD13|CFDP1|HADHA|RPS17|ARNTL|CFD|HMGB1|EEF2|ABLIM1|TNFRSF4|N4BP2L2|FLT1|RNASE6|GALNS|ACVRL1|OSMR|SRSF10|ERCC8|ZFR	18|72|126|152|176|236|289|293|307|338|382|407|426|426|442|472|472|509|524|543	6|5.5|-5.28|5.15|5.07|-4.87|4.73|-4.72|-4.7|4.63|4.52|-4.47|4.44|-4.44|4.39|4.33|4.33|-4.26|-4.23|-4.19
BAZ1B	284	0.011	0.065	0.8746	PBX2|TULP1|LRRC32|SLC25A12|CTNND1|PMVK|ARNTL|POLD3|APBB1|JOSD1|MRPS11|SRGN|TNFRSF10B|ITGA6|CAP2|SAFB|SKIV2L2|EIF1|DHX9|PRKAB1	46|152|164|194|216|228|236|269|275|307|307|312|369|388|392|397|426|450|456|479	5.67|5.15|5.11|5.01|-4.93|-4.9|-4.87|4.77|4.76|4.7|-4.7|-4.69|-4.55|-4.51|4.5|4.49|4.44|-4.37|-4.36|4.31
ZNF593	338	0.0102	0.069	0.8746	RABEPK|MANF|U2AF2|RFK|CS|RDBP|HOXD13|FABP5|GOLGB1|RRP12|ENSA|POLR2F|ACOT7|PHF21A|TRIM29|PMPCA|SNRPC|BAIAP3|SC4MOL|ZNF318	1|30|49|63|66|70|72|75|100|110|112|139|146|156|169|257|261|289|307|312	6.47|5.77|-5.62|5.54|5.52|5.51|5.5|5.49|-5.38|5.33|5.32|5.22|-5.17|-5.14|5.09|-4.81|4.79|4.73|4.7|4.69
CDKN2A	213	0.0078	0.069	0.8746	LDHA|PSMC1|RAD23B|TULP1|PTPRE|ADAM28|APBB1|EPRS|NRD1|ATP5D|PTPRN2|OSTF1|PCDHGA12|MYOM1|AHCY|ZNF222|TBX19|ELAC2|CIAPIN1|ME2	5|36|100|152|176|257|275|284|297|321|333|392|438|445|467|543|598|604|673|673	6.34|5.72|5.38|5.15|-5.07|4.81|4.76|4.74|4.71|4.66|4.64|-4.5|-4.41|4.38|4.34|-4.19|4.11|4.1|3.99|3.99
MBD1	321	0.0085	0.073	0.8746	PIK3C3|AAMP|RAD23B|TNFRSF8|THOC2|NADK|RPS19|SRF|SETD3|PLCB2|RNF115|DSCR3|STXBP3|CASP8|LPHN3|BMI1|FBXO9|EEF2|PLAT|SNX27	39|91|100|103|115|120|148|176|179|187|209|238|244|248|259|275|289|307|333|333	5.71|5.41|5.38|5.36|5.31|-5.29|5.16|5.07|5.06|5.03|4.96|4.86|-4.85|4.84|-4.8|4.76|-4.73|-4.7|4.64|-4.64
ZNF263	267	0.0091	0.074	0.8746	ZBTB43|TIAM1|PLAGL2|SLC25A36|NADK|LILRB2|PIGH|NFATC4|ARNTL|IDI1|RHOQ|VPS11|AOX1|AUH|EIF2B5|LCT|KCNJ15|BCLAF1|UBE2N|COL18A1	11|33|61|110|120|176|228|230|236|269|293|319|351|362|494|494|499|509|513|547	6.11|5.74|5.55|-5.33|-5.29|-5.07|-4.9|4.89|-4.87|-4.77|-4.72|4.67|-4.6|-4.57|4.29|4.29|4.28|4.26|4.25|-4.18
SUPT4H1	333	0.0126	0.075	0.8746	KRT33A|ARL6IP1|NCKAP1L|PTPRCAP|HLA-DMA|CAMSAP1L1|ETS2|GRAP2|BST2|PMVK|MPG|POLD3|THBD|VPS11|ZFPL1|ATP5D|PLAT|PSPH|JUP|AUH	25|64|82|96|110|115|184|207|228|228|269|269|269|319|319|321|333|338|348|362	5.84|5.53|-5.45|5.39|5.33|5.31|5.05|4.97|4.9|-4.9|4.77|4.77|4.77|4.67|-4.67|4.66|4.64|4.63|4.61|-4.57
ZNF135	220	0.0088	0.075	0.8746	KCNA3|HOXD13|CAMTA1|VDAC2|ABCB9|SCRN1|EIF5|UGT2B7|ZNF254|EIF1AX|CDC45|DHX9|RAB3A|PDE4B|KRT35|C18orf25|SPG11|SMARCB1|SEC23A|PPAT	70|72|80|144|199|275|293|426|426|450|456|456|558|566|598|639|655|706|711|721	5.51|5.5|5.46|-5.19|5|4.76|-4.72|4.44|4.44|-4.37|-4.36|-4.36|4.17|-4.16|4.11|-4.03|-4.01|3.94|-3.93|3.92
ZNF253	145	0.0056	0.075	0.8746	WNT10B|WBP4|SLC25A3|ST5|TNFAIP3|BMPR2|BST1|LDB2|CAPN2|UBL4A|PLEK|ADPRH|UGT2B7|CSRP1|FAM3C|NEUROD1|TBX19|HNRNPL|CASP9|EXD2	8|27|93|93|184|244|275|280|307|333|382|407|426|467|485|558|598|771|779|821	6.26|5.81|5.4|5.4|5.05|-4.85|4.76|4.75|-4.7|-4.64|-4.52|-4.47|4.44|4.34|-4.3|-4.17|4.11|3.86|3.85|3.76
FOSL2	291	0.0086	0.076	0.8746	QPCT|MTHFS|RAB3GAP2|CYP24A1|ALDH9A1|ATP6V0C|ACADL|PTPRE|SUPT5H|SEC22B|EPRS|STMN1|SLC26A2|RFPL1|FHL2|NR4A2|SLC5A6|SKIV2L2|ST20|ATXN2L	29|32|54|57|61|100|129|176|184|259|284|316|327|344|348|364|415|426|436|445	5.78|5.75|5.58|-5.56|5.55|-5.38|-5.27|-5.07|5.05|4.8|4.74|4.68|-4.65|-4.62|-4.61|4.56|4.46|4.44|4.42|4.38
ZNF84	182	0.0076	0.078	0.8746	NSMAF|PLXNA2|RECQL|CD14|USPL1|DSCR3|FCGR3A|HIST1H2AH|SLC26A2|USP46|ZNF273|STK25|HDLBP|ANKRD40|IFIT1|HEXB|PSMD13|ABCB1|CREB5|DLG2	52|156|202|207|236|238|269|316|327|358|397|450|479|494|534|566|566|574|610|639	5.59|5.14|4.99|4.97|4.87|4.86|4.77|4.68|-4.65|-4.58|-4.49|4.37|4.31|-4.29|4.21|4.16|-4.16|-4.15|-4.08|-4.03
KDM5C	275	0.0081	0.079	0.8746	CPT1B|KCNAB2|LOC100129361|IFI35|VDAC2|TTLL3|ARHGAP6|SNRNP40|RECQL|PIGH|STXBP3|NCOA1|SEC22B|POLD3|PSPH|FAM120A|CTF1|PTPRG|ZMIZ2|SLC17A1	21|52|77|103|144|146|148|199|202|228|244|257|259|269|338|358|382|388|432|439	5.9|5.59|5.48|5.36|-5.19|5.17|5.16|5|4.99|-4.9|-4.85|4.81|4.8|4.77|4.63|4.58|-4.52|-4.51|-4.43|-4.4
THAP11	223	0.0069	0.08	0.8746	AKAP12|GATA3|EXTL1|SNRNP27|SUPT5H|IDI1|TNFRSF10B|CDKN1B|ARCN1|UGT2B7|ICAM1|NFYC|ATP6V0A2|TOPORS|PATZ1|ACBD3|OSBPL2|DUSP2|TXNDC9|PARN	18|19|106|135|184|269|369|407|426|426|485|494|518|543|574|604|624|631|647|655	6|5.95|-5.34|5.24|5.05|-4.77|-4.55|-4.47|-4.44|4.44|4.3|4.29|-4.24|-4.19|-4.15|4.1|4.06|4.05|-4.02|-4.01
REL	345	0.0086	0.085	0.8746	MANF|WISP2|CLCN7|ABHD5|TTLL3|KIF3B|POLD4|RNF41|SEC22B|SCRN1|RHOQ|NRD1|CREG1|SNX27|DDIT4|DOK1|ACO1|POU2F1|TUSC3|ZNF593	30|87|126|139|146|161|186|248|259|275|293|297|307|333|344|351|358|362|362|369	5.77|5.42|5.28|5.22|5.17|5.12|5.04|-4.84|4.8|4.76|-4.72|4.71|4.7|-4.64|-4.62|-4.6|-4.58|-4.57|4.57|-4.55
